t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,9.678722436879149882e+01,3.212775631208501181e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.537999999999999901e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.765802927919293808e+01,5.234197072080706192e+01,-8.756961750213972090e-06,5.000000000000000000e+01,2.564000000000000057e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,4.715473571247521534e+01,5.284526428752478466e+01,-8.971194976013662122e-08,5.000000000000000000e+01,2.585999999999999943e+01,3.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,4.672887192525254108e+01,5.327112807474745892e+01,-7.590750184116177503e-08,5.000000000000000000e+01,2.608999999999999986e+01,3.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,4.628365069315609759e+01,5.371634930684390241e+01,-7.935783645914632126e-08,5.000000000000000000e+01,2.637999999999999901e+01,3.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,4.572228479181710981e+01,5.427771520818289019e+01,-1.000598749236940117e-07,5.000000000000000000e+01,2.669999999999999929e+01,3.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,4.510284655585684277e+01,5.489715344414315723e+01,-1.104109009209779207e-07,5.000000000000000000e+01,2.689000000000000057e+01,3.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,4.473505510325543355e+01,5.526494489674456645e+01,-6.555649060279715002e-08,5.000000000000000000e+01,2.714999999999999858e+01,3.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,4.423176153653771792e+01,5.576823846346228208e+01,-8.970885138641787475e-08,5.000000000000000000e+01,2.744000000000000128e+01,3.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,4.367039563519872303e+01,5.632960436480127697e+01,-1.000598786136983641e-07,5.000000000000000000e+01,2.769999999999999929e+01,3.000000000000000000e+01,1.000000000000000000e+00
