t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,6.000000000000000000e+01,1.045302023182948261e+02,-4.453020231829482611e+01,0.000000000000000000e+00,5.400000000000000000e+01,2.862999999999999901e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+01,4.910983764472481283e+01,1.089016235527518717e+01,-9.878322100418676584e-06,5.400000000000000000e+01,2.898999999999999844e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+01,4.841296962926951153e+01,1.158703037073048847e+01,-1.242157449015313149e-07,5.400000000000000000e+01,2.928000000000000114e+01,3.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+01,4.785160372793051664e+01,1.214839627206948336e+01,-1.000598909149602072e-07,5.400000000000000000e+01,2.944000000000000128e+01,3.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,4.754188460995038668e+01,1.245811539004961332e+01,-5.520546829552118663e-08,5.400000000000000000e+01,2.962999999999999901e+01,3.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,4.717409315734897746e+01,1.282590684265102254e+01,-6.555647092277223039e-08,5.400000000000000000e+01,2.992000000000000171e+01,3.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+01,4.661272725600998257e+01,1.338727274399001743e+01,-1.000598700036866734e-07,5.400000000000000000e+01,3.001999999999999957e+01,3.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+01,4.641915280727240400e+01,1.358084719272759600e+01,-3.450343106096455091e-08,5.400000000000000000e+01,3.023999999999999844e+01,3.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.000000000000000000e+01,4.599328902004972264e+01,1.400671097995027736e+01,-7.590748216003792279e-08,5.400000000000000000e+01,3.046999999999999886e+01,3.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.000000000000000000e+01,4.554806778795328626e+01,1.445193221204671374e+01,-7.935783645913930677e-08,5.400000000000000000e+01,3.057000000000000028e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.000000000000000000e+01,4.535449333921570059e+01,1.464550666078429941e+01,-3.450342368095820210e-08,5.400000000000000000e+01,3.089000000000000057e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.000000000000000000e+01,4.473505510325543355e+01,1.526494489674456645e+01,-1.104108775509497737e-07,5.400000000000000000e+01,3.105000000000000071e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.000000000000000000e+01,4.442533598527529648e+01,1.557466401472470352e+01,-5.520547198551422973e-08,5.400000000000000000e+01,3.121000000000000085e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.000000000000000000e+01,4.411561686729516651e+01,1.588438313270483349e+01,-5.520545230550016933e-08,5.400000000000000000e+01,3.144000000000000128e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,6.000000000000000000e+01,4.367039563519872303e+01,1.632960436480127697e+01,-7.935782907913305060e-08,5.400000000000000000e+01,3.153000000000000114e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.000000000000000000e+01,4.349617863133489948e+01,1.650382136866510052e+01,-3.105308414186363284e-08,5.400000000000000000e+01,3.169000000000000128e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,6.000000000000000000e+01,4.318645951335476241e+01,1.681354048664523759e+01,-5.520544369548585818e-08,5.400000000000000000e+01,3.185999999999999943e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,6.000000000000000000e+01,4.285738295050087743e+01,1.714261704949912257e+01,-5.865579184458080225e-08,5.400000000000000000e+01,3.207999999999999829e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.000000000000000000e+01,4.243151916327819606e+01,1.756848083672180394e+01,-7.590749077004258571e-08,5.400000000000000000e+01,3.217999999999999972e+01,3.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,6.000000000000000000e+01,4.223794471454061039e+01,1.776205528545938961e+01,-3.450342245095452787e-08,5.400000000000000000e+01,3.239999999999999858e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,6.000000000000000000e+01,4.181208092731792902e+01,1.818791907268207098e+01,-7.590748216003485230e-08,5.400000000000000000e+01,3.250000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.000000000000000000e+01,4.161850647858034336e+01,1.838149352141965664e+01,-3.450342245095145737e-08,5.400000000000000000e+01,3.256000000000000227e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,6.000000000000000000e+01,4.150236180933779195e+01,1.849763819066220805e+01,-2.070204953457364151e-08,5.400000000000000000e+01,3.282000000000000028e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,6.000000000000000000e+01,4.099906824262007632e+01,1.900093175737992368e+01,-8.970883539638896945e-08,5.400000000000000000e+01,3.282000000000000028e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,6.000000000000000000e+01,4.099906824262007632e+01,1.900093175737992368e+01,-3.198004114619572171e-14,5.400000000000000000e+01,3.307999999999999829e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,6.000000000000000000e+01,4.049577467590236779e+01,1.950422532409763221e+01,-8.970882801638709403e-08,5.400000000000000000e+01,3.314000000000000057e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,6.000000000000000000e+01,4.037963000665981639e+01,1.962036999334018361e+01,-2.070206921458769530e-08,5.400000000000000000e+01,3.327000000000000313e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.000000000000000000e+01,4.012798322330095147e+01,1.987201677669904853e+01,-4.485442138820936539e-08,5.400000000000000000e+01,3.346999999999999886e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,6.000000000000000000e+01,3.974083432582579434e+01,2.025916567417420566e+01,-6.900680677184841174e-08,5.400000000000000000e+01,3.353000000000000114e+01,3.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,6.000000000000000000e+01,3.962468965658323583e+01,2.037531034341676417e+01,-2.070206183458450962e-08,5.400000000000000000e+01,3.375999999999999801e+01,3.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,6.000000000000000000e+01,3.917946842448680655e+01,2.082053157551319345e+01,-7.935781677911875465e-08,5.400000000000000000e+01,3.378999999999999915e+01,3.000000000000000000e+01,1.000000000000000000e+00
