t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.045302023182948261e+02,-4.530202318294826114e+00,0.000000000000000000e+00,5.400000000000000000e+01,1.896000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,6.782848683764908060e+01,3.217151316235091940e+01,-6.541843766117294088e-06,5.400000000000000000e+01,1.896000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,6.782848683764908060e+01,3.217151316235091940e+01,-2.332082808655392046e-12,5.400000000000000000e+01,1.900000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,6.775105705815404633e+01,3.224894294184595367e+01,-1.380135815719666140e-08,5.400000000000000000e+01,1.896000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,6.782848683764908060e+01,3.217151316235091940e+01,1.380135323635937802e-08,5.400000000000000000e+01,1.912999999999999901e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,6.749941027479519562e+01,3.250058972520480438e+01,-5.865576724454775681e-08,5.400000000000000000e+01,1.925000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,6.726712093631009282e+01,3.273287906368990718e+01,-4.140409537912179459e-08,5.400000000000000000e+01,1.928999999999999915e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,6.718969115681505855e+01,3.281030884318494145e+01,-1.380137291639053459e-08,5.400000000000000000e+01,1.953999999999999915e+01,7.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,6.670575503497110503e+01,3.329424496502889497e+01,-8.625849339729617719e-08,5.400000000000000000e+01,1.964000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,6.651218058623351226e+01,3.348781941376648774e+01,-3.450342614095327520e-08,5.400000000000000000e+01,1.992999999999999972e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,6.595081468489452448e+01,3.404918531510547552e+01,-1.000598589336760649e-07,5.400000000000000000e+01,2.019000000000000128e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,6.544752111817682305e+01,3.455247888182317695e+01,-8.970886368642303862e-08,5.400000000000000000e+01,2.028999999999999915e+01,7.000000000000000000e+01,1.000000000000000000e+00
