t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.045302023182948261e+02,-4.530202318294826114e+00,0.000000000000000000e+00,5.400000000000000000e+01,2.180000000000000071e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,6.233097249350173286e+01,3.766902750649826714e+01,-7.521740195219249958e-06,5.400000000000000000e+01,2.187000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,6.219547037938541223e+01,3.780452962061458777e+01,-2.415505817687170806e-08,5.400000000000000000e+01,2.182999999999999829e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,6.227290015888045360e+01,3.772709984111954640e+01,1.380134954540149987e-08,5.400000000000000000e+01,2.187000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,6.219547037938541223e+01,3.780452962061458777e+01,-1.380135323636490028e-08,5.400000000000000000e+01,2.189999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,6.213739804476414719e+01,3.786260195523585281e+01,-1.035102353727631070e-08,5.400000000000000000e+01,2.208999999999999986e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,6.176960659216273797e+01,3.823039340783726203e+01,-6.555645493274321922e-08,5.400000000000000000e+01,2.219000000000000128e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,6.157603214342515230e+01,3.842396785657484770e+01,-3.450341876094394854e-08,5.400000000000000000e+01,2.241000000000000014e+01,7.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,6.115016835620247093e+01,3.884983164379752907e+01,-7.590748216003354205e-08,5.400000000000000000e+01,2.257000000000000028e+01,7.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,6.084044923822234097e+01,3.915955076177765903e+01,-5.520545968549941101e-08,5.400000000000000000e+01,2.282999999999999829e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,6.033715567150462533e+01,3.966284432849537467e+01,-8.970884769640904905e-08,5.400000000000000000e+01,2.314999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,5.971771743554435830e+01,4.028228256445564170e+01,-1.104108972309704053e-07,5.400000000000000000e+01,2.325000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,5.952414298680677263e+01,4.047585701319322737e+01,-3.450343475097329059e-08,5.400000000000000000e+01,2.357000000000000028e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,5.890470475084650559e+01,4.109529524915349441e+01,-1.104108775509537177e-07,5.400000000000000000e+01,2.396000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,5.814976440076993214e+01,4.185023559923006786e+01,-1.345632813846165638e-07,5.400000000000000000e+01,2.421999999999999886e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,5.764647083405222361e+01,4.235352916594777639e+01,-8.970887598644749897e-08,5.400000000000000000e+01,2.451000000000000156e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,5.708510493271322161e+01,4.291489506728677839e+01,-1.000598786137071256e-07,5.400000000000000000e+01,2.480000000000000071e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,5.652373903137423383e+01,4.347626096862576617e+01,-1.000598823037046487e-07,5.400000000000000000e+01,2.514999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,5.584622846079270175e+01,4.415377153920729825e+01,-1.207619195382539192e-07,5.400000000000000000e+01,2.546999999999999886e+01,7.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,5.522679022483243472e+01,4.477320977516756528e+01,-1.104109083009894444e-07,5.400000000000000000e+01,2.573000000000000043e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,5.472349665811471198e+01,4.527650334188528802e+01,-8.970886737643968615e-08,5.400000000000000000e+01,2.605000000000000071e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,5.410405842215444494e+01,4.589594157784555506e+01,-1.104108972309774198e-07,5.400000000000000000e+01,2.644000000000000128e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,5.334911807207787149e+01,4.665088192792212851e+01,-1.345632813846235783e-07,5.400000000000000000e+01,2.676000000000000156e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,5.272967983611760445e+01,4.727032016388239555e+01,-1.104109132209966768e-07,5.400000000000000000e+01,2.714999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,5.197473948604103811e+01,4.802526051395896189e+01,-1.345632813846280517e-07,5.400000000000000000e+01,2.757000000000000028e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,5.116172680134318540e+01,4.883827319865681460e+01,-1.449143086119111615e-07,5.400000000000000000e+01,2.789000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,5.054228856538291836e+01,4.945771143461708164e+01,-1.104109169110041923e-07,5.400000000000000000e+01,2.830999999999999872e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,4.972927588068507987e+01,5.027072411931492013e+01,-1.449143000019039707e-07,5.400000000000000000e+01,2.862999999999999901e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+02,4.910983764472481283e+01,5.089016235527518717e+01,-1.104109169110011218e-07,5.400000000000000000e+01,2.898999999999999844e+01,7.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,4.841296962926951153e+01,5.158703037073048847e+01,-1.242122627673560237e-07,5.400000000000000000e+01,2.928000000000000114e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+02,4.785160372793051664e+01,5.214839627206948336e+01,-1.000598909137188672e-07,5.400000000000000000e+01,2.976000000000000156e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+02,4.692244637399011964e+01,5.307755362600988036e+01,-1.656163335464460831e-07,5.400000000000000000e+01,3.012000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+02,4.622557835853481834e+01,5.377442164146518166e+01,-1.242122824473740215e-07,5.400000000000000000e+01,3.037000000000000099e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+02,4.574164223669086482e+01,5.425835776330913518e+01,-8.625853275735935722e-08,5.400000000000000000e+01,3.076000000000000156e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+02,4.498670188661428426e+01,5.501329811338571574e+01,-1.345632727746175787e-07,5.400000000000000000e+01,3.117999999999999972e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+02,4.417368920191644577e+01,5.582631079808355423e+01,-1.449143086119068734e-07,5.400000000000000000e+01,3.146999999999999886e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+02,4.361232330057745088e+01,5.638767669942254912e+01,-1.000598982937296100e-07,5.400000000000000000e+01,3.178999999999999915e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+02,4.299288506461718384e+01,5.700711493538281616e+01,-1.104109009209862587e-07,5.400000000000000000e+01,3.221000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+02,4.217987237991933824e+01,5.782012762008066176e+01,-1.449143000018994709e-07,5.400000000000000000e+01,3.250000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+02,4.161850647858034336e+01,5.838149352141965664e+01,-1.000598982937265395e-07,5.400000000000000000e+01,3.285000000000000142e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+02,4.094099590799880417e+01,5.905900409200119583e+01,-1.207619195382608542e-07,5.400000000000000000e+01,3.314000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+02,4.037963000665981639e+01,5.962036999334018361e+01,-1.000598896837148621e-07,5.400000000000000000e+01,3.346999999999999886e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+02,3.974083432582579434e+01,6.025916567417420566e+01,-1.138612404600739127e-07,5.400000000000000000e+01,3.389000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+02,3.892782164112794163e+01,6.107217835887205837e+01,-1.449143012319009746e-07,5.400000000000000000e+01,3.434000000000000341e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+02,3.805673662180880967e+01,6.194326337819119033e+01,-1.552653309191906388e-07,5.400000000000000000e+01,3.465999999999999659e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+02,3.743729838584855685e+01,6.256270161415144315e+01,-1.104109206010074990e-07,5.400000000000000000e+01,3.497999999999999687e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+02,3.681786014988829692e+01,6.318213985011170308e+01,-1.104109046109920139e-07,5.400000000000000000e+01,3.524000000000000199e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+02,3.631456658317056707e+01,6.368543341682943293e+01,-8.970886737643958027e-08,5.400000000000000000e+01,3.563000000000000256e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+02,3.555962623309399362e+01,6.444037376690600638e+01,-1.345632740046173089e-07,5.400000000000000000e+01,3.597999999999999687e+01,7.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+02,3.488211566251246154e+01,6.511788433748753846e+01,-1.207619318382662034e-07,5.400000000000000000e+01,3.629999999999999716e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+02,3.426267742655219450e+01,6.573732257344781260e+01,-1.104109083009938251e-07,5.400000000000000000e+01,3.668999999999999773e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+02,3.350773707647562105e+01,6.649226292352437895e+01,-1.345632813846275223e-07,5.400000000000000000e+01,3.695000000000000284e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+02,3.300444350975789831e+01,6.699555649024210879e+01,-8.970887598644994742e-08,5.400000000000000000e+01,3.724000000000000199e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,1.000000000000000000e+02,3.244307760841891053e+01,6.755692239158108237e+01,-1.000598786137059079e-07,5.400000000000000000e+01,3.753000000000000114e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.000000000000000000e+02,3.188171170707991919e+01,6.811828829292008436e+01,-1.000598823037046487e-07,5.400000000000000000e+01,3.795000000000000284e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,1.000000000000000000e+02,3.106869902238206649e+01,6.893130097761793706e+01,-1.449142963118950392e-07,5.400000000000000000e+01,3.827000000000000313e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.000000000000000000e+02,3.044926078642179945e+01,6.955073921357819700e+01,-1.104109169109998115e-07,5.400000000000000000e+01,3.849000000000000199e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,1.000000000000000000e+02,3.002339699919912164e+01,6.997660300080087836e+01,-7.590750922007620573e-08,5.400000000000000000e+01,3.885000000000000142e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,1.000000000000000000e+02,2.932652898374382389e+01,7.067347101625617256e+01,-1.242122504673368309e-07,5.400000000000000000e+01,3.910999999999999943e+01,7.000000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,1.000000000000000000e+02,2.882323541702611180e+01,7.117676458297388820e+01,-8.970887229643867326e-08,5.400000000000000000e+01,3.939999999999999858e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,7.000000000000000000e+01,2.826186951568712047e+01,4.173813048431287598e+01,-1.000598786137045977e-07,5.400000000000000000e+01,3.968999999999999773e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,7.000000000000000000e+01,2.770050361434813269e+01,4.229949638565186376e+01,-1.000598823037046487e-07,5.400000000000000000e+01,4.003999999999999915e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,7.000000000000000000e+01,2.702299304376658995e+01,4.297700695623341005e+01,-1.207619195382551632e-07,5.400000000000000000e+01,4.032999999999999829e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,7.000000000000000000e+01,2.646162714242759861e+01,4.353837285757239783e+01,-1.000598896837148621e-07,5.400000000000000000e+01,4.061999999999999744e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,7.000000000000000000e+01,2.590026124108861083e+01,4.409973875891138562e+01,-1.000598823037086059e-07,5.400000000000000000e+01,4.090999999999999659e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,7.000000000000000000e+01,2.533889533974962305e+01,4.466110466025037340e+01,-1.000598823037059722e-07,5.400000000000000000e+01,4.114000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,7.000000000000000000e+01,2.489367410765317246e+01,4.510632589234683110e+01,-7.935784506915924275e-08,5.400000000000000000e+01,4.146000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,7.000000000000000000e+01,2.427423587169290542e+01,4.572576412830709103e+01,-1.104108935409716646e-07,5.400000000000000000e+01,4.156000000000000227e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,7.000000000000000000e+01,2.408066142295531975e+01,4.591933857704468380e+01,-3.450343475097197372e-08,5.400000000000000000e+01,4.190999999999999659e+01,7.000000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,7.000000000000000000e+01,2.340315085237379122e+01,4.659684914762620878e+01,-1.207618961682258781e-07,5.400000000000000000e+01,4.214000000000000057e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,7.000000000000000000e+01,2.295792962027734418e+01,4.704207037972265937e+01,-7.935785244915979468e-08,5.400000000000000000e+01,4.229999999999999716e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,7.000000000000000000e+01,2.264821050229721777e+01,4.735178949770278223e+01,-5.520546091551062913e-08,5.400000000000000000e+01,4.252000000000000313e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,7.000000000000000000e+01,2.222234671507452219e+01,4.777765328492547781e+01,-7.590748954004664065e-08,5.400000000000000000e+01,4.275000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,7.000000000000000000e+01,2.177712548297808937e+01,4.822287451702190708e+01,-7.935783645914070967e-08,5.400000000000000000e+01,4.281000000000000227e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,7.000000000000000000e+01,2.166098081373553441e+01,4.833901918626446559e+01,-2.070206552459289858e-08,5.400000000000000000e+01,4.310000000000000142e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,7.000000000000000000e+01,2.109961491239654308e+01,4.890038508760345337e+01,-1.000598540136692692e-07,5.400000000000000000e+01,4.322999999999999687e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.600000000000000000e+01,7.000000000000000000e+01,2.084796812903769592e+01,4.915203187096230408e+01,-4.485444967823221800e-08,5.400000000000000000e+01,4.346000000000000085e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.700000000000000000e+01,7.000000000000000000e+01,2.040274689694124532e+01,4.959725310305875468e+01,-7.935782538913554073e-08,5.400000000000000000e+01,4.359000000000000341e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,7.000000000000000000e+01,2.015110011358238395e+01,4.984889988641761249e+01,-4.485444229822884703e-08,5.400000000000000000e+01,4.378000000000000114e+01,7.000000000000000000e+01,1.000000000000000000e+00
7.900000000000000000e+01,7.000000000000000000e+01,1.978330866098098184e+01,5.021669133901902171e+01,-6.555646723276515170e-08,5.400000000000000000e+01,4.393999999999999773e+01,7.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+01,7.000000000000000000e+01,1.947358954300085543e+01,5.052641045699914457e+01,-5.520545599549505869e-08,5.400000000000000000e+01,4.413000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.100000000000000000e+01,7.000000000000000000e+01,1.910579809039943910e+01,5.089420190960056090e+01,-6.555647092277028487e-08,5.400000000000000000e+01,4.439000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.200000000000000000e+01,7.000000000000000000e+01,1.860250452368172702e+01,5.139749547631826943e+01,-8.970885138641086026e-08,5.400000000000000000e+01,4.449000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,7.000000000000000000e+01,1.840893007494414135e+01,5.159106992505586220e+01,-3.450342737096133018e-08,5.400000000000000000e+01,4.475000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.400000000000000000e+01,7.000000000000000000e+01,1.790563650822642927e+01,5.209436349177357073e+01,-8.970884031640191937e-08,5.400000000000000000e+01,4.478000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.500000000000000000e+01,7.000000000000000000e+01,1.784756417360515002e+01,5.215243582639484998e+01,-1.035105059731749042e-08,5.400000000000000000e+01,4.503999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.600000000000000000e+01,7.000000000000000000e+01,1.734427060688743794e+01,5.265572939311256562e+01,-8.970883170639153899e-08,5.400000000000000000e+01,4.510000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.700000000000000000e+01,7.000000000000000000e+01,1.722812593764488298e+01,5.277187406235511702e+01,-2.070206921458901217e-08,5.400000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
