t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.045302023182948261e+02,-4.530202318294826114e+00,0.000000000000000000e+00,5.400000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,6.227290015888045360e+01,3.772709984111954640e+01,-7.532091213836524288e-06,5.400000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,6.227290015888045360e+01,3.772709984111954640e+01,-2.685093233805232270e-12,5.400000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,6.227290015888045360e+01,3.772709984111954640e+01,-9.572010573879274582e-19,5.400000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,6.219547037938541223e+01,3.780452962061458777e+01,-1.380135815636775529e-08,5.400000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,6.219547037938541223e+01,3.780452962061458777e+01,-4.920005925434085695e-15,5.400000000000000000e+01,2.189999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,6.213739804476414719e+01,3.786260195523585281e+01,-1.035101861727389244e-08,5.400000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,6.157603214342515230e+01,3.842396785657484770e+01,-1.000598503236559569e-07,5.400000000000000000e+01,2.225000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,6.145988747418260090e+01,3.854011252581739910e+01,-2.070207290459223290e-08,5.400000000000000000e+01,2.248000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,6.101466624208616452e+01,3.898533375791383548e+01,-7.935781677912394273e-08,5.400000000000000000e+01,2.260999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,6.076301945872730670e+01,3.923698054127269330e+01,-4.485444229822455231e-08,5.400000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,6.033715567150462533e+01,3.966284432849537467e+01,-7.590748585003973401e-08,5.400000000000000000e+01,2.312000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,5.977578977016563044e+01,4.022421022983436956e+01,-1.000598736936898081e-07,5.400000000000000000e+01,2.341000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,5.921442386882664266e+01,4.078557613117335734e+01,-1.000598823037029017e-07,5.400000000000000000e+01,2.353999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,5.896277708546778484e+01,4.103722291453221516e+01,-4.485444967824352721e-08,5.400000000000000000e+01,2.382999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,5.840141118412879706e+01,4.159858881587120294e+01,-1.000598626236822701e-07,5.400000000000000000e+01,2.421999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,5.764647083405222361e+01,4.235352916594777639e+01,-1.345632776946134291e-07,5.400000000000000000e+01,2.448000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,5.714317726733450087e+01,4.285682273266549913e+01,-8.970887598644741956e-08,5.400000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,5.658181136599551309e+01,4.341818863400448691e+01,-1.000598786137059079e-07,5.400000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,5.596237313003524605e+01,4.403762686996475395e+01,-1.104109009209792310e-07,5.400000000000000000e+01,2.560000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,5.497514344147356979e+01,4.502485655852643021e+01,-1.759673558537220134e-07,5.400000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,5.410405842215444494e+01,4.589594157784555506e+01,-1.552653419892023193e-07,5.400000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,5.346526274132043000e+01,4.653473725867957000e+01,-1.138612601401046292e-07,5.400000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,5.284582450536016296e+01,4.715417549463983704e+01,-1.104109058409934912e-07,5.400000000000000000e+01,2.698999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,5.228445860402117518e+01,4.771554139597882482e+01,-1.000598859937121641e-07,5.400000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,5.160694803343962889e+01,4.839305196656037111e+01,-1.207619195382564867e-07,5.400000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,5.096815235260559973e+01,4.903184764739440027e+01,-1.138612478400813865e-07,5.400000000000000000e+01,2.796000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,5.040678645126661195e+01,4.959321354873338805e+01,-1.000598872237145281e-07,5.400000000000000000e+01,2.828000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+02,4.978734821530634491e+01,5.021265178469365509e+01,-1.104109009209823015e-07,5.400000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,4.910983764472481283e+01,5.089016235527518717e+01,-1.207619232282583509e-07,5.400000000000000000e+01,2.892000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+02,4.854847174338581084e+01,5.145152825661418916e+01,-1.000598896837173899e-07,5.400000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+02,4.785160372793051664e+01,5.214839627206948336e+01,-1.242122590773484950e-07,5.400000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+02,4.723216549197024960e+01,5.276783450802975040e+01,-1.104109095309909216e-07,5.400000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+02,4.661272725600998257e+01,5.338727274399001743e+01,-1.104109046109880699e-07,5.400000000000000000e+01,3.050000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
