t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+01,3.231000000000000227e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+01,3.239999999999999858e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+01,3.246999999999999886e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+01,3.263000000000000256e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+01,3.263000000000000256e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,3.302000000000000313e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,3.314000000000000057e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,3.317999999999999972e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,3.339999999999999858e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,3.360000000000000142e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,3.375999999999999801e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,3.407999999999999829e+01,5.000000000000000000e+01
