t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.162386123592687568e+02,-1.623861235926875679e+01,0.000000000000000000e+00,6.000000000000000000e+01,1.976999999999999957e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,6.212178780386036436e+01,7.793798958688971368e+01,-1.581619495618849491e+01,-6.826840855497714954e-06,6.000000000000000000e+01,1.971000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,6.266108067044329033e+01,7.805422819924896771e+01,-1.539314754952422071e+01,2.071854526766615249e-08,6.000000000000000000e+01,1.973999999999999844e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,6.302569373805800268e+01,7.799610889306934780e+01,-1.497041514465195355e+01,-1.035939357931077695e-08,6.000000000000000000e+01,1.989999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,6.313677645552413509e+01,7.768613926011128967e+01,-1.454936274933705320e+01,-5.525010339811347726e-08,6.000000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,6.349939458775810408e+01,7.762801995393165555e+01,-1.412862535581415813e+01,-1.035939628749830250e-08,6.000000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,6.392013199164038895e+01,7.762801995393165555e+01,-1.370788796229126305e+01,-3.692992160158123902e-16,6.000000000000000000e+01,2.003000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,6.414608832405983208e+01,7.743428893333286567e+01,-1.328820057474172245e+01,-3.453131439300867701e-08,6.000000000000000000e+01,2.021999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,6.419569173004413187e+01,7.706619999419518763e+01,-1.287050819854155392e+01,-6.560949857771189519e-08,6.000000000000000000e+01,2.025000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,6.455494985352275705e+01,7.700808068801555351e+01,-1.245313082413339068e+01,-1.035939665679747930e-08,6.000000000000000000e+01,2.037999999999999901e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,6.471911185885583961e+01,7.675623036123714371e+01,-1.203711845749058895e+01,-4.489070908020828739e-08,6.000000000000000000e+01,2.057999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,6.474556214818244371e+01,7.636876832003957816e+01,-1.162320610279449440e+01,-6.906263038631364402e-08,6.000000000000000000e+01,2.071000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,6.490625919250668119e+01,7.611691799326115415e+01,-1.121065875586375959e+01,-4.489071117290587309e-08,6.000000000000000000e+01,2.089999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,6.494872256823157386e+01,7.574882905412347611e+01,-1.080010642028239687e+01,-6.560949894701112659e-08,6.000000000000000000e+01,2.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,6.516449390831900246e+01,7.555509803352470044e+01,-1.039060409067438862e+01,-3.453131673190331068e-08,6.000000000000000000e+01,2.121999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,6.514547793803072295e+01,7.512888978820737407e+01,-9.983411774207759493e+00,-7.596889289561482850e-08,6.000000000000000000e+01,2.141000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,6.518258631436970063e+01,7.476080084906969603e+01,-9.578214469090502448e+00,-6.560950005490852961e-08,6.000000000000000000e+01,2.153999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,6.533456830566196061e+01,7.450895052229127202e+01,-9.174382171738605152e+00,-4.489071104980619767e-08,6.000000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,6.517353557070457271e+01,7.394713056255481831e+01,-8.773594891709434407e+00,-1.001408133400197970e-07,6.000000000000000000e+01,2.208999999999999986e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,6.506789219200555863e+01,7.344342990899797030e+01,-8.375537627210983160e+00,-8.978142099171482027e-08,6.000000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,6.527116848518200243e+01,7.324969888839919463e+01,-7.978530368685885499e+00,-3.453131759359894088e-08,6.000000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,6.504487638270735772e+01,7.262975962248309258e+01,-7.584883129275520552e+00,-1.105002072886259871e-07,6.000000000000000000e+01,2.260999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,6.524374267151448237e+01,7.243602860188431691e+01,-7.192285895838509191e+00,-3.453131833219714560e-08,6.000000000000000000e+01,2.285999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,6.514938728672420609e+01,7.195170105038737063e+01,-6.802313677334883124e+00,-8.632828721351773535e-08,6.000000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,6.497449451435610968e+01,7.138988109065090271e+01,-6.415386476153982720e+00,-1.001408148172163388e-07,6.000000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,6.471864431403641049e+01,7.075056872267491315e+01,-6.031924294685150123e+00,-1.139533410668206897e-07,6.000000000000000000e+01,2.376999999999999957e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,6.453724153225860505e+01,7.018874876293845944e+01,-5.651507130539044077e+00,-1.001408158020116907e-07,6.000000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,6.485922447821448600e+01,7.013062945675882531e+01,-5.271404968184944195e+00,-1.035939788779473311e-08,6.000000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,6.461602725539692926e+01,6.951069019084270906e+01,-4.894662824945576141e+00,-1.105002064269279878e-07,6.000000000000000000e+01,2.441000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,6.442790443193651129e+01,6.894887023110625535e+01,-4.520965699028934637e+00,-1.001408156789118631e-07,6.000000000000000000e+01,2.460000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,6.443151764189740049e+01,6.858078129196856310e+01,-4.149263584461665211e+00,-6.560950091660908319e-08,6.000000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,6.447209201819831037e+01,6.825143855695064588e+01,-3.779346480049097678e+00,-5.870323680700675151e-08,6.000000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,6.421870978578306222e+01,6.763149929103452962e+01,-3.412789394751262417e+00,-1.105002081503239598e-07,6.000000000000000000e+01,2.528000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,6.421518296548455851e+01,6.726341035189685158e+01,-3.048227320802799678e+00,-6.560950128590570731e-08,6.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,6.432652972560804017e+01,6.701156002511844179e+01,-2.685030254619696688e+00,-4.489071104980378893e-08,6.000000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,6.406642744115079324e+01,6.639162075920232553e+01,-2.325193207551325969e+00,-1.105002076579250993e-07,6.000000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,6.380296520318835718e+01,6.577168149328625191e+01,-1.968716179597687743e+00,-1.105002099968147567e-07,6.000000000000000000e+01,2.617999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,6.390622696220770393e+01,6.551983116650782790e+01,-1.613604159409409711e+00,-4.489071265010254060e-08,6.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,0.000000000000000000e+00
