t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,7.511097620305912415e+01,7.470607550474370839e+01,4.049006983154221362e-01,0.000000000000000000e+00,4.000000000000000000e+01,1.896000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,3.991326786939952598e+01,3.929539571549518939e+01,6.178784656293341282e-01,-6.311724991586016125e-06,4.000000000000000000e+01,1.896000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.012625194843618459e+01,3.929539571549518939e+01,8.308562329432461757e-01,-2.250048437731894104e-12,4.000000000000000000e+01,1.896000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.033922971575234584e+01,3.929539571549518939e+01,1.043834000257158223e+00,-8.021132065938717551e-19,4.000000000000000000e+01,1.905999999999999872e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,4.036443000926892921e+01,3.910863052673333584e+01,1.255799515825281709e+00,-3.328968877418713651e-08,4.000000000000000000e+01,1.903000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,4.063272880026592304e+01,3.916466008336188764e+01,1.468068706917141863e+00,9.986894764911468164e-09,4.000000000000000000e+01,1.921999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,4.048822078115595957e+01,3.880980622471435737e+01,1.678414619692003562e+00,-6.325040511075716856e-08,4.000000000000000000e+01,1.928999999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,4.056712252552306808e+01,3.867907059258105562e+01,1.888051956244813478e+00,-2.330280468988407004e-08,4.000000000000000000e+01,1.935000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,4.066409340110026704e+01,3.856701147932393781e+01,2.097081941750150058e+00,-1.997382157166236064e-08,4.000000000000000000e+01,1.951000000000000156e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,4.057267944850367769e+01,3.826818717730496644e+01,2.304492324462224850e+00,-5.326350915911001593e-08,4.000000000000000000e+01,1.960999999999999943e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.059231241068190599e+01,3.808142198854310578e+01,2.510890455428511192e+00,-3.328970776194020751e-08,4.000000000000000000e+01,1.960999999999999943e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,4.079871057493788555e+01,3.808142198854310578e+01,2.717288586394797534e+00,-1.186735084975289218e-14,4.000000000000000000e+01,1.987000000000000099e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,4.051688727403111301e+01,3.759583249776227376e+01,2.921054862822033638e+00,-8.655319081289316045e-08,4.000000000000000000e+01,1.992999999999999972e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,4.060798715273310933e+01,3.748377338450515595e+01,3.124213788201796849e+00,-1.997384411960689266e-08,4.000000000000000000e+01,2.008999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,4.051070214001097014e+01,3.718494908248618458e+01,3.325753110788298272e+00,-5.326350915911804951e-08,4.000000000000000000e+01,2.025000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,4.041179755778522065e+01,3.688612478046720611e+01,3.525672830581537909e+00,-5.326352102645367526e-08,4.000000000000000000e+01,2.035000000000000142e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,4.042393985704462267e+01,3.669935959170534545e+01,3.724580298628989095e+00,-3.328970776194562058e-08,4.000000000000000000e+01,2.057999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,4.019095916864790752e+01,3.626979965755307234e+01,3.921159587661126711e+00,-7.656629604798184946e-08,4.000000000000000000e+01,2.067000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
