t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,7.784944244180327644e+01,7.742977949503320190e+01,4.196629467700700999e-01,0.000000000000000000e+00,4.000000000000000000e+01,2.567000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.830921684452449227e+01,2.773921850409564271e+01,5.700071974504477001e-01,-8.857021596847623391e-06,4.000000000000000000e+01,2.557000000000000028e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,2.865419359283121636e+01,2.793279295283322838e+01,7.214006054977504245e-01,3.450023797711184064e-08,4.000000000000000000e+01,2.567000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.861096332577038837e+01,2.773921850409564271e+01,8.717448561781280247e-01,-3.450338309202524702e-08,4.000000000000000000e+01,2.569999999999999929e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,2.870292051877176931e+01,2.768114616947437057e+01,1.021774359648428110e+00,-1.035103091728379441e-08,4.000000000000000000e+01,2.567000000000000171e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,2.891133712477546425e+01,2.773921850409564271e+01,1.172118610328805710e+00,1.035101492726453569e-08,4.000000000000000000e+01,2.573000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,2.894490718074009195e+01,2.762307383485309487e+01,1.321833366589028280e+00,-2.070203354454482886e-08,4.000000000000000000e+01,2.573000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,2.909462195770233706e+01,2.762307383485309487e+01,1.471548122849250850e+00,-7.380007572711363280e-15,4.000000000000000000e+01,2.576000000000000156e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.918594962178019259e+01,2.756500150023181561e+01,1.620948131899395683e+00,-1.035101861727722102e-08,4.000000000000000000e+01,2.589000000000000057e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,2.908233890839108327e+01,2.731335471687296135e+01,1.768984236372537877e+00,-4.485441769819229435e-08,4.000000000000000000e+01,2.596000000000000085e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,2.909413850929309220e+01,2.717785260275665138e+01,1.916285930688832462e+00,-2.415239276366046970e-08,4.000000000000000000e+01,2.605000000000000071e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,2.906627895121465599e+01,2.700363559889282783e+01,2.062643383374894501e+00,-3.105306446183862057e-08,4.000000000000000000e+01,2.605000000000000071e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,2.921263643495377238e+01,2.700363559889282783e+01,2.209000836060956541e+00,-1.107001640158446877e-14,4.000000000000000000e+01,2.608999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,2.928114443139668666e+01,2.692620581939779711e+01,2.354938625800248264e+00,-1.380135815636924918e-08,4.000000000000000000e+01,2.633999999999999986e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,2.894052313341757454e+01,2.644226969755384005e+01,2.498253522122227288e+00,-8.625849339729090970e-08,4.000000000000000000e+01,2.637999999999999901e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,2.900598865975485197e+01,2.636483991805880578e+01,2.641148755497435996e+00,-1.380138890640409073e-08,4.000000000000000000e+01,2.644000000000000128e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,2.903210972256670175e+01,2.624869524881625438e+01,2.783414494452489674e+00,-2.070204215456606847e-08,4.000000000000000000e+01,2.651000000000000156e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,2.903813893379825473e+01,2.611319313469994441e+01,2.924945823250695742e+00,-2.415238415365053930e-08,4.000000000000000000e+01,2.669999999999999929e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,2.880988536959382529e+01,2.574540168209854230e+01,3.064483753051744142e+00,-6.555645985274881054e-08,4.000000000000000000e+01,2.673000000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,2.889103627276893604e+01,2.568732934747726304e+01,3.203706935642714804e+00,-1.035104198730580640e-08,4.000000000000000000e+01,2.682999999999999829e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,2.883563582510304713e+01,2.549375489873968448e+01,3.341880960866760564e+00,-3.450339908092603678e-08,4.000000000000000000e+01,2.701999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,2.860402496767546054e+01,2.512596344613827526e+01,3.478061587093648210e+00,-6.555646354275316285e-08,4.000000000000000000e+01,2.701999999999999957e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,2.874020565945878758e+01,2.512596344613827526e+01,3.614242213320535857e+00,-2.337003253060529413e-14,4.000000000000000000e+01,2.728000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
