t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.498999999999999844e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.496000000000000085e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.485999999999999943e+01,4.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.489000000000000057e+01,4.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.496000000000000085e+01,4.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.508999999999999986e+01,4.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.508999999999999986e+01,4.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.508999999999999986e+01,4.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.514999999999999858e+01,4.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.517999999999999972e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.541000000000000014e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.541000000000000014e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.557000000000000028e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.573000000000000043e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.585999999999999943e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.605000000000000071e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.605000000000000071e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.637999999999999901e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.644000000000000128e+01,4.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.667000000000000171e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.673000000000000043e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.701999999999999957e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.708999999999999986e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.733999999999999986e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.733999999999999986e+01,4.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.767000000000000171e+01,4.000000000000000000e+01,1.000000000000000000e+00
