t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,1.084016912930464827e+02,-8.401691293046482656e+00,0.000000000000000000e+00,5.600000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,6.171153425754145871e+01,3.828846574245854129e+01,-8.322218968288455277e-06,5.600000000000000000e+01,2.408999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,6.176960659216273797e+01,3.823039340783726203e+01,1.034805185370155406e-08,5.600000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,6.171153425754145871e+01,3.828846574245854129e+01,-1.035101492832775891e-08,5.600000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,6.171153425754145871e+01,3.828846574245854129e+01,-3.690003129013227931e-15,5.600000000000000000e+01,2.412000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,6.171153425754145871e+01,3.828846574245854129e+01,-1.315438455688435885e-21,5.600000000000000000e+01,2.437999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,6.120824069082375019e+01,3.879175930917624981e+01,-8.970882801637569879e-08,5.600000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,6.109209602158119168e+01,3.890790397841880832e+01,-2.070206921458769530e-08,5.600000000000000000e+01,2.476999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,6.045330034074717673e+01,3.954669965925282327e+01,-1.138612121700358863e-07,5.600000000000000000e+01,2.482999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,6.033715567150462533e+01,3.966284432849537467e+01,-2.070207782459947196e-08,5.600000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,5.983386210478690970e+01,4.016613789521309030e+01,-8.970883539640028528e-08,5.600000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,5.921442386882664266e+01,4.078557613117335734e+01,-1.104108972309660245e-07,5.600000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,5.859498563286637562e+01,4.140501436713362438e+01,-1.104109046109836759e-07,5.600000000000000000e+01,2.601999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,5.803361973152738784e+01,4.196638026847261216e+01,-1.000598859937117274e-07,5.600000000000000000e+01,2.630999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,5.747225383018840006e+01,4.252774616981159994e+01,-1.000598823037072824e-07,5.600000000000000000e+01,2.667000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,5.677538581473309165e+01,4.322461418526690835e+01,-1.242122590773470921e-07,5.600000000000000000e+01,2.698999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,5.615594757877283172e+01,4.384405242122716828e+01,-1.104109095309897040e-07,5.600000000000000000e+01,2.725000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,5.565265401205511608e+01,4.434734598794488392e+01,-8.970886737644012290e-08,5.600000000000000000e+01,2.760000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,5.497514344147356979e+01,4.502485655852643021e+01,-1.207619158482520285e-07,5.600000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,5.422020309139700345e+01,4.577979690860299655e+01,-1.345632850746267924e-07,5.600000000000000000e+01,2.825000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,5.371690952467928071e+01,4.628309047532071929e+01,-8.970887598645005330e-08,5.600000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,5.298132661947646938e+01,4.701867338052353062e+01,-1.311129344655284505e-07,5.600000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,5.234253093864244022e+01,4.765746906135755978e+01,-1.138612515300845080e-07,5.600000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,5.172309270268217318e+01,4.827690729731782682e+01,-1.104109058409904207e-07,5.600000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,5.110365446672191325e+01,4.889634553327808675e+01,-1.104109046109867464e-07,5.600000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,5.048421623076164622e+01,4.951578376923835378e+01,-1.104109046109863097e-07,5.600000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,4.986477799480138628e+01,5.013522200519861372e+01,-1.104109046109850921e-07,5.600000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,4.922598231396735713e+01,5.077401768603264287e+01,-1.138612441500782518e-07,5.600000000000000000e+01,3.094999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
